mal_id,title,title_english,title_japanese,genres,url,item_idx
55272,Vinland Saga Season 2: Same Old Story,,ヴィンランド・サガ SEASON2 Same old story,"['Action', 'Adventure', 'Drama']",https://myanimelist.net/anime/55272/Vinland_Saga_Season_2__Same_Old_Story,9013.0
48876,Yoru wa Honoka,Night is Faint,夜は仄か,['Supernatural'],https://myanimelist.net/anime/48876/Yoru_wa_Honoka,8225.0
938,Shin Getter Robo tai Neo Getter Robo,Shin Getter Robo vs. Neo Getter Robo,真ゲッターロボ対ネオゲッターロボ,"['Action', 'Sci-Fi']",https://myanimelist.net/anime/938/Shin_Getter_Robo_tai_Neo_Getter_Robo,764.0
39545,Fragtime,,フラグタイム,"['Girls Love', 'Supernatural']",https://myanimelist.net/anime/39545/Fragtime,7355.0
12917,Madang-eul Naon Amtalg,Daisy: A Hen into the Wild,마당을 나온 암탉,"['Adventure', 'Drama', 'Fantasy']",https://myanimelist.net/anime/12917/Madang-eul_Naon_Amtalg,4215.0
34759,Green Eyes: Ane Kyun! yori The Animation,,グリーン・アイズ -姉キュン! より- THE ANIMATION,['Hentai'],https://myanimelist.net/anime/34759/Green_Eyes__Ane_Kyun_yori_The_Animation,6364.0
1209,Nasu: Andalusia no Natsu,Nasu: Summer in Andalusia,茄子 アンダルシアの夏,['Sports'],https://myanimelist.net/anime/1209/Nasu__Andalusia_no_Natsu,975.0
1243,Night Head Genesis,,NIGHT HEAD GENESIS (ナイト ヘッド ジェネシス),"['Drama', 'Mystery', 'Sci-Fi', 'Suspense']",https://myanimelist.net/anime/1243/Night_Head_Genesis,1005.0
48567,Visual Prison,Visual Prison,ヴィジュアルプリズン,['Supernatural'],https://myanimelist.net/anime/48567/Visual_Prison,8172.0
1654,Kashimashi: Girl Meets Girl - Shoujo wa Shoujo ni Koi wo Shita,Girl Meets Girl,かしまし ～ガール・ミーツ・ガール～ 少女は少女に恋をした,"['Comedy', 'Drama', 'Girls Love']",https://myanimelist.net/anime/1654/Kashimashi__Girl_Meets_Girl_-_Shoujo_wa_Shoujo_ni_Koi_wo_Shita,1304.0
9435,Ane Jiru 2 The Animation: Shirakawa Sanshimai ni Omakase,,姉汁2 THE ANIMATION~白川三姉妹におまかせ~,['Hentai'],https://myanimelist.net/anime/9435/Ane_Jiru_2_The_Animation__Shirakawa_Sanshimai_ni_Omakase,3665.0
36186,The iDOLM@STER Prologue SideM: Episode of Jupiter,The iDOLM@STER Side M: Episode of Jupiter,THE IDOLM@STER Prologue SideM Episode of Jupiter,[],https://myanimelist.net/anime/36186/The_iDOLMSTER_Prologue_SideM__Episode_of_Jupiter,6622.0
1490,Ginga Tetsudou Monogatari,The Galaxy Railways,銀河鉄道物語,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",https://myanimelist.net/anime/1490/Ginga_Tetsudou_Monogatari,1188.0
35960,Kud Wafter,,クドわふたー,"['Comedy', 'Romance']",https://myanimelist.net/anime/35960/Kud_Wafter,6576.0
2433,Lingeries,,ランジェリーズ,['Hentai'],https://myanimelist.net/anime/2433/Lingeries,1838.0
4200,Dirty Pair OVA,,ダーティペア (1987),"['Adventure', 'Comedy', 'Sci-Fi']",https://myanimelist.net/anime/4200/Dirty_Pair_OVA,2634.0
1336,Kyoushoku Soukou Guyver II,The Guyver: Bio-Booster Armor,強殖装甲ガイバー II,"['Action', 'Horror', 'Sci-Fi']",https://myanimelist.net/anime/1336/Kyoushoku_Soukou_Guyver_II,1068.0
